SAMPN,RECMODE,RETMODE,CTFIP,BIN,GTYPE,STYPE,ILANG,RESTY,HHSIZ,LTELE,HHLNG,O_HHLNG,INCOM,DOW,HHVEH,HHSTU,HHWRK,HHLIC,HHCHD,HTRIPS,HTRIPS_GPS,PARTIAL,HH1,HCITY,HCITY_PL,HCITY_MCD,HSTATE,HZIP,HTAZ,HTRACT,HH_WHT2,GEO_GROUP1,GEO_GROUP2,GEO_GROUP3,HHSIZ_R,INCOM_R,HHVEH_R,HHSTRUC,HTRIPS_V,HTRIPS_T,HTRIPS_NM,HTRIPS_O,HTRIPS_WP,HTRIPS_NWP,HTRIPS_GPS_V,HTRIPS_GPS_T,HTRIPS_GPS_NM,HTRIPS_GPS_O,HTRIPS_GPS_WP,HTRIPS_GPS_NWP
3673539,2,1,36103,16,2,1,1,1,2,1,1,,4,2,4,0,1,2,0,21,37.49,1,301.75,MORICHES,MORICHES CDP,Brookhaven town,NY,11955,2064,36103159404,1408.82,3,2,1,2,2,3,4,21,0,0,0,0,21,37.494,0,0,0,0,37.494
3673612,2,2,36103,16,2,1,1,1,2,1,1,,7,3,3,1,2,2,0,11,15.12,1,204.85714,SHOREHAM,EAST SHOREHAM CDP,Brookhaven town,NY,11786,2030,36103158402,52.59,3,2,1,2,4,3,2,11,0,0,0,9,2,15.116,0,0,0,12.579,2.536
3673734,2,1,34025,16,2,1,1,1,4,1,1,,5,1,2,2,1,2,2,2,1.5,1,240.57143,MANALAPAN,,Manalapan township,NJ,07726,3256,34025810001,282.33,10,5,4,4,3,2,3,2,0,0,0,2,0,1.503,0,0,0,1.503,0
3673752,2,1,36103,16,2,1,1,1,3,1,1,,4,5,2,1,2,2,1,30,65.78,1,176.6,OAKDALE,OAKDALE CDP,Islip town,NY,11769,1996,36103147601,71.87,3,2,1,3,2,2,1,30,0,0,0,2,28,65.779,0,0,0,1.503,64.275
3673880,2,1,34021,16,2,1,1,2,3,1,2,,3,1,2,1,1,2,0,8,7.47,1,238.4,PRINCETON,,Princeton township,NJ,08540,3581,34021004201,307.86,12,6,5,3,2,2,4,8,0,0,0,0,8,7.474,0,0,0,0,7.474
3673882,2,1,34031,16,2,1,1,1,2,1,1,,6,4,2,0,0,2,0,8,14.69,1,273.875,WAYNE,,Wayne township,NJ,07470,2744,34031246103,54.57,7,5,4,2,4,2,6,8,0,0,0,0,8,14.685,0,0,0,0,14.685
3673998,2,2,34023,16,2,1,1,1,3,1,1,,5,2,2,0,2,2,0,6,4.98,1,520.8,PISCATAWAY,,Piscataway township,NJ,08854,3220,34023000502,344.06,9,5,4,3,3,2,2,6,0,0,0,4,2,4.98,0,0,0,3.007,1.973
3674030,2,3,36103,16,2,1,1,1,2,1,1,,6,2,2,0,1,2,0,4,3.45,1,265,COMMACK,COMMACK CDP,Smithtown town,NY,11725,1942,36103135208,139.58,3,2,1,2,4,2,4,4,0,0,0,2,2,3.452,0,0,0,1.503,1.948
3674058,2,1,36103,16,2,1,1,1,2,1,1,,5,5,3,0,1,2,0,2,1.5,1,203.18182,NESCONSET,NESCONSET CDP,Smithtown town,NY,11767,1947,36103135401,51.19,3,2,1,2,3,3,4,2,0,0,0,2,0,1.503,0,0,0,1.503,0
3674148,1,1,34023,16,2,2,1,2,4,1,3,,5,4,1,2,1,1,2,10,12.12,1,603.5,PISCATAWAY TOWNSHIP,,Piscataway township,NJ,08854,3220,34023000606,659.75,9,5,4,4,3,1,3,8,2,0,0,2,8,10.291,1.828,0,0,3.333,8.785
3674220,2,2,36103,16,2,1,1,1,4,1,1,,6,2,2,2,1,2,2,15,17.18,1,301.57143,HUNTINGTON,HUNTINGTON CDP,Huntington town,NY,11743,1863,36103110200,79.08,3,2,1,4,4,2,3,13,2,0,0,2,13,15.355,1.828,0,0,1.465,15.718
3674291,1,1,36081,16,2,1,1,2,5,1,97,GUJARATI,4,4,1,0,2,3,1,8,10.28,1,209.61538,FOREST HILLS,NEW YORK CITY,Queens borough,NY,11375,474,36081071100,1074.59,2,1,1,4,2,1,1,6,2,0,0,4,4,8.623,1.659,0,0,4.992,5.29
3674340,2,1,36103,16,2,1,1,1,2,1,1,,6,1,2,0,1,2,0,4,3.37,1,246.75,HUNTINGTON,WEST HILLS CDP,Huntington town,NY,11743,1885,36103111900,79.35,3,2,1,2,4,2,4,4,0,0,0,2,2,3.373,0,0,0,1.503,1.87
3674366,2,1,34031,16,2,1,1,1,1,1,1,,4,4,1,0,1,1,0,7,5.69,1,279.7,WEST PATERSON,WOODLAND PARK BOROUGH,Woodland Park borough,NJ,07424,2746,34031264102,159.03,7,5,4,1,2,1,4,7,0,0,0,4,3,5.69,0,0,0,3.007,2.684
3674407,2,1,36103,16,2,1,1,1,3,1,1,,6,2,2,1,2,2,0,11,11.29,1,293.75,CENTER MORICHES,CENTER MORICHES CDP,Brookhaven town,NY,11934,2074,36103159601,50.41,3,2,1,3,4,2,2,9,2,0,0,4,7,9.467,1.828,0,0,4.365,6.93
