SAMPN,RECMODE,RETMODE,CTFIP,BIN,GTYPE,STYPE,ILANG,RESTY,HHSIZ,LTELE,HHLNG,O_HHLNG,INCOM,DOW,HHVEH,HHSTU,HHWRK,HHLIC,HHCHD,HTRIPS,HTRIPS_GPS,PARTIAL,HH1,HCITY,HCITY_PL,HCITY_MCD,HSTATE,HZIP,HTAZ,HTRACT,HH_WHT2,GEO_GROUP1,GEO_GROUP2,GEO_GROUP3,HHSIZ_R,INCOM_R,HHVEH_R,HHSTRUC,HTRIPS_V,HTRIPS_T,HTRIPS_NM,HTRIPS_O,HTRIPS_WP,HTRIPS_NWP,HTRIPS_GPS_V,HTRIPS_GPS_T,HTRIPS_GPS_NM,HTRIPS_GPS_O,HTRIPS_GPS_WP,HTRIPS_GPS_NWP
3000056,1,3,9001,1,2,1,1,1,6,1,1,,5,3,3,4,4,4,2,24,25.93,1,1510,BROOKFIELD,,Brookfield town,CT,06804,2626,9001205100,1846.73,6,4,3,4,3,3,1,22,2,0,0,6,18,24.104,1.828,0,0,4.472,21.46
3000128,2,1,36027,14,2,1,1,1,5,1,1,,4,4,2,3,3,3,2,8,6.84,1,178.2,RED HOOK,RED HOOK VILLAGE,Red Hook town,NY,12571,2438,36027150006,384.33,5,3,2,4,2,2,1,4,4,0,0,2,6,3.183,3.655,0,0,1.503,5.334
3000139,2,2,34027,17,2,1,1,1,2,1,1,,99,2,2,0,0,2,0,0,0,1,236.125,LAKE HOPATCONG,,Jefferson township,NJ,07849,3157,34027044701,249.28,9,5,4,2,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
3000146,1,1,34027,20,2,1,1,1,1,1,1,,5,2,1,0,1,1,0,5,7.15,1,170.47059,MORRIS PLAINS,,Parsippany-Troy Hills township,NJ,07950,3172,34027041601,55.63,9,5,4,1,3,1,4,5,0,0,0,2,3,7.153,0,0,0,2.861,4.292
3000157,2,2,34017,19,2,1,2,2,1,1,2,,1,3,0,0,0,0,0,4,3.61,1,115.73333,NORTH BERGEN,,North Bergen township,NJ,07047,2852,34017014502,50.06,8,5,4,1,1,0,6,2,2,0,0,0,4,1.614,1.998,0,0,0,3.612
3000239,2,2,36087,21,2,1,1,1,2,1,1,,99,5,1,0,0,2,0,0,0,1,62.48485,SUFFERN,POMONA VILLAGE,Ramapo town,NY,10901,2284,36087011501,59.24,4,3,1,2,9,1,6,0,0,0,0,0,0,0,0,0,0,0,0
3000250,2,2,36059,18,2,1,1,2,1,1,1,,3,2,1,0,0,1,0,6,5.55,1,226,LONG BEACH,LONG BEACH CITY,Long Beach city,NY,11561,1799,36059416802,291.36,3,2,1,1,2,1,6,4,0,2,0,0,6,3.604,0,1.948,0,0,5.553
3000275,2,2,36059,5,2,1,1,1,2,2,1,,4,4,1,0,0,2,0,4,3.23,1,615.25,VALLEY STREAM,VALLEY STREAM VILLAGE,Hempstead town,NY,11580,1733,36059410600,356.03,3,2,1,2,2,1,6,4,0,0,0,0,4,3.227,0,0,0,0,3.227
3000296,2,2,36047,3,2,1,1,2,1,1,1,,1,4,0,0,0,0,0,0,0,1,1325,BROOKLYN,NEW YORK CITY,Brooklyn borough,NY,11225,1285,36047080200,1440.87,2,1,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
3000403,2,2,36081,4,2,1,1,2,1,1,1,,2,4,0,0,0,1,0,2,1.61,1,381,NEW YORK,NEW YORK CITY,Queens borough,NY,11377,377,36081029300,557.52,2,1,1,1,1,0,6,2,0,0,0,0,2,1.614,0,0,0,0,1.614
3000407,2,3,34021,16,2,1,1,1,2,1,1,,6,4,2,0,2,2,0,5,5.8,1,132.45455,PRINCETON,,Princeton township,NJ,08540,3581,34021004203,63.59,12,6,5,2,4,2,2,5,0,0,0,4,1,5.795,0,0,0,4.365,1.431
3000448,2,3,34023,12,2,1,1,1,3,1,1,,7,4,5,0,3,3,0,9,10.48,1,360,OLD BRIDGE,OLD BRIDGE CDP,Old Bridge township,NJ,08857,3218,34023007805,169.38,9,5,4,3,4,3,2,7,2,0,0,6,3,7.579,2.901,0,0,7.265,3.214
3000451,1,2,36103,16,2,1,1,1,4,1,1,,3,1,1,3,0,1,3,29,46.56,1,292.2,SAYVILLE,SAYVILLE CDP,Islip town,NY,11782,2000,36103147802,613.83,3,2,1,4,2,1,6,23,6,0,0,0,29,41.055,5.508,0,0,0,46.562
3000486,2,3,36119,14,2,1,1,2,2,1,1,,7,2,2,0,1,2,0,6,6.71,1,196.83333,HARTSDALE,HARTSDALE CDP,Greenburgh town,NY,10530,2160,36119010804,92.44,4,3,1,2,4,2,4,6,0,0,0,2,4,6.71,0,0,0,1.503,5.207
3000490,2,2,36061,6,2,1,1,2,1,1,1,,3,3,0,0,0,0,0,0,0,1,101.64516,NEW YORK,NEW YORK CITY,Manhattan borough,NY,10034,278,36061029500,607.28,1,1,1,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0
3000498,2,2,36081,12,2,1,1,1,2,1,1,,3,4,0,0,0,2,0,0,0,1,166.33333,NEW YORK,NEW YORK CITY,Queens borough,NY,11428,697,36081056600,376.35,2,1,1,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0
3000552,2,2,34029,20,1,1,1,1,2,1,1,,4,4,2,0,0,2,0,7,7,1,156.69231,TOMS RIVER,TOMS RIVER CDP,Toms River township,NJ,08753,3289,34029723200,198.42,10,5,4,2,2,2,6,7,0,0,0,0,7,7,0,0,0,0,7
3000568,2,2,9001,1,2,1,1,1,4,1,1,,4,4,2,2,1,2,2,7,6.86,1,346.5,DANBURY,DANBURY CITY,Danbury town,CT,06811,2637,9001210900,298.48,6,4,3,4,2,2,3,7,0,0,0,2,5,6.857,0,0,0,1.465,5.393
3000598,2,3,34017,18,2,1,1,2,1,1,1,,2,2,0,0,0,0,0,0,0,1,178,JERSEY CITY,JERSEY CITY CITY,Jersey City city,NJ,07307,2748,34017000200,222.59,8,5,4,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
3000614,2,1,34025,14,2,1,1,1,3,1,1,,5,3,3,1,3,3,0,9,11.52,1,519.33333,WEST LONG BRANCH,WEST LONG BRANCH BOROUGH,West Long Branch borough,NJ,07764,3281,34025806202,310.41,10,5,4,3,3,3,2,9,0,0,0,9,0,11.518,0,0,0,11.518,0
3000616,2,2,36061,20,2,1,1,2,1,1,1,,4,4,1,0,1,1,0,0,0,1,49.0566,NEW YORK,NEW YORK CITY,Manhattan borough,NY,10075,193,36061013800,217.66,1,1,1,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0
3000636,2,2,34041,17,2,1,1,1,3,1,1,,7,3,3,0,3,3,0,12,16.77,1,228.61538,HACKETTSTOWN,BEATTYSTOWN CDP,Mansfield township,NJ,07840,3356,34041031500,160.85,11,5,4,3,4,3,2,10,2,0,0,6,6,13.871,2.901,0,0,5.869,10.902
3000678,2,2,34013,6,2,1,1,1,2,1,1,,3,2,1,1,0,1,0,7,5.86,1,622.5,EAST ORANGE,EAST ORANGE CITY,East Orange city,NJ,07018,3014,34013011600,425.01,8,5,4,2,2,1,6,0,1,6,0,0,7,0,0.999,4.857,0,0,5.856
3000686,2,2,36047,8,2,1,1,2,1,1,1,,1,4,0,0,0,0,0,0,0,1,508.25,BROOKLYN,NEW YORK CITY,Brooklyn borough,NY,11214,1330,36047029600,181.43,2,1,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
3000688,2,2,34003,15,2,1,1,1,2,1,1,,6,1,2,0,2,2,0,4,4.56,1,377.6,HILLSDALE,HILLSDALE BOROUGH,Hillsdale borough,NJ,07642,2687,34003026200,1495.78,7,5,4,2,4,2,2,2,2,0,0,2,2,1.656,2.901,0,0,2.901,1.656
3000696,2,2,9001,13,2,1,1,1,1,1,1,,3,4,1,0,1,1,0,6,6.15,1,230.16667,STRATFORD,STRATFORD CDP,Stratford town,CT,06615,2594,9001080500,428.97,6,4,3,1,2,1,4,6,0,0,0,4,2,6.148,0,0,0,4.365,1.784
3000711,2,2,34035,17,2,1,1,2,1,1,1,,2,5,0,0,0,0,0,3,3.04,1,200,BRIDGEWATER,GREEN KNOLL CDP,Bridgewater township,NJ,08807,3188,34035050802,203.9,9,5,4,1,1,0,6,3,0,0,0,0,3,3.037,0,0,0,0,3.037
3000716,2,2,34041,17,2,1,1,1,2,1,1,,4,1,2,0,0,2,0,0,0,1,244.125,HACKETTSTOWN,PANTHER VALLEY CDP,Allamuchy township,NJ,07840,3341,34041031302,113.5,11,5,4,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0
3000727,2,1,34039,21,2,1,1,1,3,1,1,,4,3,1,2,1,1,2,14,20.38,1,65.93333,NEW PROVIDENCE,,Berkeley Heights township,NJ,07974,3123,34039038201,50,8,5,4,3,2,1,3,10,0,4,0,2,12,16.731,0,3.65,0,1.503,18.878
3000749,2,2,36085,17,1,1,1,1,2,1,1,,7,4,2,0,1,2,0,6,6,1,336.75,STATEN ISLAND,NEW YORK CITY,Staten Island borough,NY,10308,1607,36085014605,206.13,2,1,1,2,4,2,4,4,2,0,0,2,4,4,2,0,0,2,4
3000751,1,3,36103,12,2,1,1,1,3,1,1,,4,1,3,1,2,2,1,8,6.9,1,256.11111,BAY SHORE,BAY SHORE CDP,Islip town,NY,11706,1989,36103147200,75.58,3,2,1,3,2,3,1,7,1,0,0,4,4,5.986,0.914,0,0,3.007,3.893
3000773,2,1,34037,21,2,1,1,1,3,1,1,,3,5,4,2,1,2,1,16,27.34,1,81.52,HIGHLAND LAKES,HIGHLAND LAKE CDP,Vernon township,NJ,07422,3385,34037371502,119.43,11,5,4,3,2,3,3,16,0,0,0,2,14,27.339,0,0,0,3.554,23.785
3000783,2,2,34029,15,2,1,2,1,7,1,2,,1,5,1,4,0,2,5,24,23.96,1,324.71429,LAKEWOOD,LAKEWOOD CDP,Lakewood township,NJ,08701,3296,34029715200,229.68,10,5,4,4,1,1,5,24,0,0,0,0,24,23.961,0,0,0,0,23.961
3000801,2,1,34025,1,2,1,1,1,4,1,1,,8,3,4,2,1,2,2,10,9.42,1,1612,PERRINEVILLE,,Millstone township,NJ,08535,3261,34025812502,1927.44,10,5,4,4,4,3,3,10,0,0,0,2,8,9.418,0,0,0,1.465,7.953
3000809,2,1,34003,3,2,1,1,1,2,1,1,,5,5,2,0,2,2,0,6,7.65,1,1240,EMERSON,EMERSON BOROUGH,Emerson borough,NJ,07630,2674,34003014000,221.89,7,5,4,2,3,2,2,6,0,0,0,4,2,7.654,0,0,0,5.723,1.932
3000815,2,2,36059,5,2,1,1,2,1,1,1,,1,4,1,0,0,1,0,2,1.66,1,292.66667,BALDWIN,BALDWIN CDP,Hempstead town,NY,11510,1765,36059413700,572.24,3,2,1,1,1,1,6,2,0,0,0,0,2,1.656,0,0,0,0,1.656
3000827,2,1,9001,10,2,1,1,1,1,1,1,,3,1,1,0,1,1,0,3,2.68,1,379.66667,FAIRFIELD,,Fairfield town,CT,06824,2542,9001061300,146.67,6,4,3,1,2,1,4,3,0,0,0,0,3,2.676,0,0,0,0,2.676
3000898,2,2,36059,17,2,1,1,1,1,1,1,,3,4,0,0,0,0,0,0,0,1,256.625,BELLMORE,NORTH BELLMORE CDP,Hempstead town,NY,11710,1713,36059408500,52.21,3,2,1,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0
3000938,2,3,34003,15,2,1,1,1,3,1,1,,6,3,3,1,0,3,0,14,22.39,1,659.75,SADDLE RIVER,UPPER SADDLE RIVER BOROUGH,Upper Saddle River borough,NJ,07458,2723,34003053200,50,7,5,4,3,4,3,6,14,0,0,0,0,14,22.394,0,0,0,0,22.394
3001002,2,2,36027,18,2,1,2,1,2,1,2,,99,2,0,0,1,0,1,2,1.46,1,222.5,WAPPINGERS FALLS,WAPPINGERS FALLS VILLAGE,Poughkeepsie town,NY,12590,2422,36027300000,174.19,5,3,2,2,9,0,3,2,0,0,0,2,0,1.465,0,0,0,1.465,0
3001008,2,2,9009,14,2,1,1,1,1,1,1,,5,5,0,0,1,0,0,5,6.9,1,565.33333,WEST HAVEN,WEST HAVEN CITY,West Haven town,CT,06516,3447,9009155100,367.13,6,4,3,1,3,0,4,3,2,0,0,2,3,5.236,1.659,0,0,1.659,5.236
3001048,2,2,36079,21,2,1,1,1,2,2,1,,99,4,2,0,0,2,0,0,0,1,71.04878,BREWSTER,BREWSTER HILL CDP,Southeast town,NY,10509,2304,36079011800,122.2,4,3,1,2,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
3001059,2,2,36005,13,2,1,1,2,1,1,1,,4,2,0,0,1,0,0,4,4.8,1,609.5,BRONX,NEW YORK CITY,Bronx borough,NY,10468,873,36005040304,1525.59,2,1,1,1,2,0,4,0,2,2,0,0,4,0,1.998,2.799,0,0,4.797
3001069,2,2,34039,17,2,1,1,1,2,2,1,,6,5,2,0,2,2,0,12,10.1,1,286.5,ELIZABETH,ELIZABETH CITY,Elizabeth city,NJ,07208,3126,34039031802,556.51,8,5,4,2,4,2,2,12,0,0,0,6,6,10.099,0,0,0,4.433,5.666
3001073,2,3,34003,3,2,1,1,1,2,1,1,,5,4,2,0,1,2,0,9,11.7,1,912,ENGLEWOOD CLIFFS,ENGLEWOOD CLIFFS BOROUGH,Englewood Cliffs borough,NJ,07632,2676,34003016000,345.27,7,5,4,2,3,2,4,9,0,0,0,0,9,11.698,0,0,0,0,11.698
3001135,2,1,34013,21,2,1,1,1,2,1,1,,6,4,2,0,0,2,0,4,3.78,1,56.77778,CALDWELL,CALDWELL BOROUGH,Caldwell borough,NJ,08755,3121,34013021701,56.24,8,5,4,2,4,2,6,0,2,2,0,0,4,0,1.888,1.888,0,0,3.776
3001161,2,2,34037,14,2,1,1,1,2,1,1,,4,3,2,0,2,2,0,4,5.72,1,258.83333,NEWTON,,Stillwater township,NJ,07860,3383,34037373900,181.27,11,5,4,2,2,2,2,4,0,0,0,4,0,5.723,0,0,0,5.723,0
3001181,2,2,36061,13,2,1,1,1,2,1,1,,99,3,1,0,1,2,0,4,6.09,1,437.25,NEW YORK,NEW YORK CITY,Manhattan borough,NY,10027,242,36061022600,222.27,1,1,1,2,9,1,4,0,0,4,0,0,4,0,0,6.091,0,0,6.091
3001190,2,2,36047,8,2,1,1,2,1,1,1,,2,5,0,0,0,1,0,5,4.72,1,208.77778,BROOKLYN,NEW YORK CITY,Brooklyn borough,NY,11201,1082,36047000501,327.44,2,1,1,1,1,0,6,0,2,3,0,0,5,0,1.888,2.832,0,0,4.719
3001218,2,1,34029,15,2,1,1,1,2,1,1,,4,1,2,1,1,2,0,12,22.64,1,265.6,LAKEWOOD,,Lakewood township,NJ,08701,3296,34029715700,263.81,10,5,4,2,2,2,4,12,0,0,0,2,10,22.641,0,0,0,2.455,20.186
3001293,2,2,36047,8,2,1,1,2,2,1,1,,6,4,0,0,2,2,0,6,6.84,1,208.77778,BROOKLYN,NEW YORK CITY,Brooklyn borough,NY,11201,1082,36047000501,57.56,2,1,1,2,4,0,2,0,5,1,0,4,2,0,5.39,1.45,0,4.56,2.28
3001312,1,2,9009,14,2,1,1,1,4,1,1,,99,2,2,2,2,2,1,22,26.32,1,250,BRANFORD,,Branford town,CT,06405,3510,9009184500,50,6,4,3,4,9,2,2,16,4,2,0,2,20,19.83,4.868,1.619,0,1.659,24.658
3001332,2,2,34035,6,2,1,1,1,1,1,1,,4,3,1,0,0,1,0,0,0,1,501.125,SOMERSET,SOMERSET CDP,Franklin township,NJ,08873,3190,34035053105,440.08,9,5,4,1,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0
3001346,2,1,36087,21,2,1,1,2,2,1,1,,5,4,2,0,2,2,0,7,19.62,1,105.15385,SUFFERN,SUFFERN VILLAGE,Ramapo town,NY,10901,2291,36087011902,83.46,4,3,1,2,3,2,2,7,0,0,0,0,7,19.616,0,0,0,0,19.616
3001413,2,2,36059,17,2,1,1,1,2,1,1,,99,4,2,0,0,2,0,0,0,1,398.16667,BALDWIN,BALDWIN CDP,Hempstead town,NY,11510,1763,36059413500,221.99,3,2,1,2,9,2,6,0,0,0,0,0,0,0,0,0,0,0,0
3001535,2,2,34003,17,2,1,1,1,2,1,1,,6,2,1,0,1,2,0,2,1.66,1,135.28571,LEONIA,LEONIA BOROUGH,Leonia borough,NJ,07605,2689,34003028001,129.33,7,5,4,2,4,1,4,0,2,0,0,2,0,0,1.659,0,0,1.659,0
3001559,2,2,34039,15,2,1,1,2,1,1,1,,3,1,2,0,0,1,0,5,4.43,1,318.16667,CLARK,,Clark township,NJ,07066,3124,34039036301,51.33,8,5,4,1,2,2,6,5,0,0,0,0,5,4.432,0,0,0,0,4.432
3001621,2,3,36079,19,2,1,1,2,1,1,1,,1,5,0,0,0,1,0,6,11.88,1,105.27778,MAHOPAC,MAHOPAC CDP,Carmel town,NY,10541,2308,36079011400,66.2,4,3,1,1,1,0,6,4,0,2,0,0,6,8.014,0,3.869,0,0,11.882
3001622,2,2,36071,18,2,1,1,2,1,1,1,,2,2,0,0,0,1,0,1,1,1,172.66667,GOSHEN,GOSHEN VILLAGE,Goshen town,NY,10924,2351,36071012100,287.96,5,3,2,1,1,0,6,0,1,0,0,0,1,0,0.999,0,0,0,0.999
3001623,2,1,34031,16,2,1,1,1,4,1,1,,7,4,2,2,2,2,2,14,14.76,1,249.25,WAYNE,,Wayne township,NJ,07470,2744,34031246001,454.11,7,5,4,4,4,2,1,10,4,0,0,4,10,11.108,3.655,0,0,4.365,10.399
3001633,1,1,34037,21,2,1,1,1,4,1,1,,4,2,2,1,3,2,0,7,7.62,1,124.92857,VERNON,,Vernon township,NJ,07462,3385,34037371700,180.9,11,5,4,4,2,2,2,5,2,0,0,4,3,5.795,1.828,0,0,4.365,3.258
3001654,2,2,9009,2,2,1,1,1,1,1,1,,4,4,1,0,1,1,0,4,7.14,1,1266.5,NORTHFORD,,North Branford town,CT,06472,3514,9009186200,2357.14,6,4,3,1,2,1,4,4,0,0,0,2,2,7.138,0,0,0,3.569,3.569
3001670,2,2,36005,7,2,1,1,2,2,1,1,,6,5,0,0,1,0,0,11,25.21,1,439.33333,BRONX,NEW YORK CITY,Bronx borough,NY,10462,915,36005021001,1156.02,2,1,1,2,4,0,4,1,0,10,0,2,9,1.667,0,23.545,0,3.333,21.879
3001676,2,2,36085,17,2,1,1,1,3,1,1,,6,2,3,1,2,3,0,13,21.41,1,179.875,STATEN ISLAND,NEW YORK CITY,Staten Island borough,NY,10306,1604,36085012200,294.1,2,1,1,3,4,3,2,12,0,1,0,7,6,19.98,0,1.431,0,11.877,9.534
3001732,2,2,34013,14,2,1,1,2,2,1,1,,4,1,1,0,1,1,0,12,12.38,1,658.5,NEWARK,NEWARK CITY,Newark city,NJ,07107,2910,34013000600,716.55,8,5,4,2,2,1,4,12,0,0,0,2,10,12.376,0,0,0,2.861,9.514
3001737,2,1,34027,15,2,1,1,1,2,1,1,,8,1,3,0,1,2,0,4,3.38,1,187.57143,MOUNTAIN LAKES,MOUNTAIN LAKES BOROUGH,Mountain Lakes borough,NJ,07046,3168,34027041200,71.46,9,5,4,2,4,3,4,4,0,0,0,2,2,3.376,0,0,0,1.503,1.872
3001754,2,1,9001,1,2,1,1,1,2,1,1,,5,2,2,0,2,2,0,14,30.56,1,1220,NEWTOWN,,Newtown town,CT,06470,2648,9001230300,153.58,6,4,3,2,3,2,2,14,0,0,0,2,12,30.557,0,0,0,1.503,29.053
3001776,2,1,36119,2,2,1,1,2,3,1,1,,6,2,2,1,2,2,1,6,6.2,1,394.8,CORTLANDT MANOR,,Cortlandt town,NY,10567,2242,36119014606,348.54,4,3,1,3,4,2,1,4,2,0,0,4,2,3.007,3.195,0,0,3.007,3.195
3001818,2,3,36061,6,2,1,1,2,2,1,1,,2,4,0,0,0,1,0,0,0,1,118.9,NEW YORK,NEW YORK CITY,Manhattan borough,NY,10036,82,36061012100,515.45,1,1,1,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
3001846,2,2,36085,17,2,1,1,2,1,1,1,,2,5,1,0,0,1,0,2,1.88,1,353.28571,STATEN ISLAND,NEW YORK CITY,Staten Island borough,NY,10308,1612,36085014604,255.42,2,1,1,1,1,1,6,0,2,0,0,0,2,0,1.876,0,0,0,1.876
3001865,2,2,34017,18,2,1,1,2,1,1,1,,5,4,1,0,1,1,0,3,2.2,1,253.3,WEST NEW YORK,WEST NEW YORK TOWN,West New York town,NJ,07093,2865,34017015802,57.88,8,5,4,1,3,1,4,3,0,0,0,2,1,2.197,0,0,0,1.465,0.732
3001974,2,3,36087,15,2,1,1,1,2,1,1,,6,1,2,0,0,2,0,19,24.14,1,194.6,NEW CITY,NEW CITY CDP,Clarkstown town,NY,10956,2274,36087010803,182.4,4,3,1,2,4,2,6,19,0,0,0,0,19,24.139,0,0,0,0,24.139
3001982,2,1,34025,2,2,1,1,1,1,1,1,,4,2,1,0,0,1,0,5,4.43,1,935,ATLANTIC HIGHLANDS,ATLANTIC HIGHLANDS BOROUGH,Atlantic Highlands borough,NJ,07716,3233,34025800200,1087.65,10,5,4,1,2,1,6,5,0,0,0,0,5,4.432,0,0,0,0,4.432
3001998,2,1,34003,17,2,1,1,1,4,1,1,,5,3,2,0,2,2,0,4,3.12,1,357.14286,PARAMUS,PARAMUS BOROUGH,Paramus borough,NJ,07652,2706,34003042100,371.53,7,5,4,4,3,2,2,2,2,0,0,4,0,1.465,1.659,0,0,3.124,0
3002021,2,2,34019,18,2,1,1,1,3,1,1,,99,1,2,2,1,1,2,6,5.78,1,138.15789,FLEMINGTON,,Raritan township,NJ,08822,3335,34019011302,50.4,11,5,4,3,9,2,3,2,4,0,0,0,6,2.129,3.655,0,0,0,5.785
3002067,2,3,9009,2,2,1,1,1,2,1,1,,4,4,2,0,1,2,0,4,3.74,1,853.66667,NAUGATUCK,NAUGATUCK BOROUGH,Naugatuck town,CT,06770,3531,9009345201,436.34,6,4,3,2,2,2,4,4,0,0,0,2,2,3.744,0,0,0,1.503,2.241
3002068,2,2,9009,2,2,1,1,1,2,1,1,,5,2,3,0,1,2,0,6,10.48,1,454.5,WALLINGFORD,,Wallingford town,CT,06492,3495,9009175700,1650.08,6,4,3,2,3,3,4,6,0,0,0,2,4,10.482,0,0,0,1.503,8.978
3002077,2,2,36061,10,2,1,1,2,1,2,1,,2,5,1,0,1,1,0,0,0,1,56.92593,NEW YORK,NEW YORK CITY,Manhattan borough,NY,10002,48,36061001600,144.88,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0
3002080,2,2,36047,3,2,1,1,2,1,1,1,,2,4,0,0,0,0,0,2,1.88,1,729.66667,BROOKLYN,NEW YORK CITY,Brooklyn borough,NY,11225,1278,36047032900,346.15,2,1,1,1,1,0,6,0,2,0,0,0,2,0,1.876,0,0,0,1.876
3002081,2,3,34025,2,2,1,1,3,2,1,1,,3,1,2,0,1,2,0,2,1.5,1,1054,TINTON FALLS,TINTON FALLS BOROUGH,Tinton Falls borough,NJ,07712,3277,34025804800,586.5,10,5,4,2,2,2,4,2,0,0,0,2,0,1.503,0,0,0,1.503,0
3002167,1,1,36061,6,2,1,1,2,1,1,1,,2,4,1,0,1,1,0,4,5.72,1,408.8,NEW YORK,NEW YORK CITY,Manhattan borough,NY,10009,53,36061002602,314.47,1,1,1,1,1,1,4,4,0,0,0,4,0,5.723,0,0,0,5.723,0
3002177,2,2,36119,14,2,1,1,1,3,1,1,,8,1,2,1,3,3,0,11,9.35,1,264.5,ARDSLEY,ARDSLEY VILLAGE,Greenburgh town,NY,10502,2163,36119010600,666.56,4,3,1,3,4,2,2,7,2,2,0,6,5,6.035,1.659,1.659,0,4.822,4.532
3002183,2,3,36103,3,2,1,1,1,2,1,1,,6,1,2,0,2,1,0,5,3.86,1,545,CORAM,CORAM CDP,Brookhaven town,NY,11727,2024,36103158309,1467.05,3,2,1,2,4,2,2,3,2,0,0,4,1,2.197,1.659,0,0,3.124,0.732
3002200,2,3,36027,14,2,1,1,1,3,1,1,,8,4,4,0,3,3,0,14,20.03,1,237,POUGHKEEPSIE,,Poughkeepsie town,NY,12603,2398,36027140200,161.28,5,3,2,3,4,3,2,14,0,0,0,10,4,20.029,0,0,0,14.306,5.723
3002228,2,1,36119,11,2,1,1,1,1,1,1,,2,3,6,0,0,0,0,2,1.88,1,846.66667,YONKERS,YONKERS CITY,Yonkers city,NY,10705,2169,36119000201,97.57,4,3,1,1,1,3,6,0,2,0,0,0,2,0,1.876,0,0,0,1.876
3002244,2,3,34021,9,2,1,1,1,3,1,1,,6,5,2,0,1,2,1,0,0,1,290,LAWRENCEVILLE,,Lawrence township,NJ,08648,3578,34021003201,257.98,12,6,5,3,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
3002280,2,3,34003,20,2,1,1,1,4,1,1,,6,4,4,2,2,4,0,8,7.08,1,194.06667,LODI,LODI BOROUGH,Lodi borough,NJ,07644,2691,34003030400,393.36,7,5,4,4,4,3,2,8,0,0,0,0,8,7.079,0,0,0,0,7.079
3002296,2,2,36085,13,2,1,1,2,2,1,1,,99,5,0,0,0,0,0,2,1.89,1,229.25,STATEN ISLAND,NEW YORK CITY,Staten Island borough,NY,10306,1608,36085013204,331.65,2,1,1,2,9,0,6,0,2,0,0,0,2,0,1.888,0,0,0,1.888
3002372,2,1,36119,14,2,1,1,1,2,1,1,,3,3,2,1,1,2,0,4,3.34,1,387.5,VALHALLA,VALHALLA CDP,Mount Pleasant town,NY,10595,2211,36119011902,603.94,4,3,1,2,2,2,4,2,2,0,0,2,2,1.503,1.836,0,0,1.503,1.836
3002420,2,3,34025,2,2,1,1,1,2,1,1,,6,4,3,0,0,2,0,6,13.5,1,1016,HOLMDEL TOWNSHIP,,Holmdel township,NJ,07733,3248,34025803202,1620.34,10,5,4,2,4,3,6,6,0,0,0,0,6,13.499,0,0,0,0,13.499
3002445,2,3,36061,6,2,1,1,2,1,1,1,,4,4,0,0,0,1,0,3,5.18,1,725.14286,NEW YORK,NEW YORK CITY,Manhattan borough,NY,10016,130,36061007800,213,1,1,1,1,2,0,6,0,0,3,0,0,3,0,0,5.176,0,0,5.176
3002497,2,3,36061,10,2,1,1,2,2,1,1,,7,4,1,0,1,2,0,9,8.58,1,1277.75,NEW YORK,NEW YORK CITY,Manhattan borough,NY,10065,185,36061011800,1743,1,1,1,2,4,1,4,3,4,2,0,5,4,3.045,3.875,1.659,0,4.148,4.432
3002564,2,2,36059,5,2,1,1,1,2,1,1,,3,4,1,0,0,2,0,0,0,1,849,HEWLETT,HEWLETT CDP,Hempstead town,NY,11557,1742,36059411700,1261.34,3,2,1,2,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0
3002565,2,2,36081,4,2,1,1,2,1,1,1,,2,4,0,0,0,0,0,4,6.23,1,442.16667,NEW YORK,NEW YORK CITY,Queens borough,NY,11104,370,36081018300,363.43,2,1,1,1,1,0,6,0,0,4,0,0,4,0,0,6.232,0,0,6.232
3002585,2,3,34025,21,2,1,1,1,4,1,1,,8,4,2,2,2,2,2,11,9.07,1,97,PORT MONMOUTH,PORT MONMOUTH CDP,Middletown township,NJ,07758,3260,34025800500,188.5,10,5,4,4,4,2,1,5,6,0,0,6,5,3.759,5.315,0,0,4.666,4.407
3002595,2,2,34003,17,2,1,1,1,2,1,97,"GERMAN, SPANISH, ENGLISH",4,4,2,0,0,2,0,8,13.84,1,357.14286,PARAMUS,PARAMUS BOROUGH,Paramus borough,NJ,07652,2706,34003042100,559.38,7,5,4,2,2,2,6,8,0,0,0,0,8,13.835,0,0,0,0,13.835
