X,Y,OBJECTID_1,STATION_ID,COUNTY,LATITUDE,LONGITUDE,ATIS_ID,SE_ANNO_CAD_DATA,LINE_CODE,LAYER,MUNICIPALITY,RAIL_SERVICE,ADA
613081.284510661,740276.122033492,133,Teterboro-Williams Ave,Bergen,40.86489,-74.06265,147,,PV,STATIONS,Hasbrouck Heights,PV,NO
608654.193955414,732596.656749405,134,Wood-Ridge,Bergen,40.84387,-74.07879,160,,PV,STATIONS,Wood-Ridge,PV,NO
539535.568085328,632074.760352656,135,Metropark,Middlesex,40.56858,-74.32933,84,,NE,STATIONS,Woodbridge Twp,NE,YES
530917.190308996,621931.36397282,136,Metuchen,Middlesex,40.54077,-74.36042,85,,NE,STATIONS,Metuchen,NE,YES
516874.87817058,614036.110406406,137,Edison,Middlesex,40.51915,-74.41097,38,,NE,STATIONS,Edison Twp,NE,YES
507238.48208908,606076.511496238,138,New Brunswick,Middlesex,40.49732,-74.44565,104,,NE,STATIONS,New Brunswick,NE,YES
501213.228719663,598636.056560904,139,Jersey Avenue,Middlesex,40.4769,-74.46733,64,,NE,STATIONS,New Brunswick,NE,NO
457618.489137661,540160.405139737,140,Princeton Jct.,Mercer,40.31632,-74.62375,126,,NE,STATIONS,West Windsor Twp,"NE, PRIN",YES
447841.848914079,549565.777733155,141,Princeton,Mercer,40.34209,-74.65887,125,,PRIN,STATIONS,Princeton,PRIN,YES
421220.885423828,504612.259700738,142,Trenton,Mercer,40.21852,-74.75392,149,,NE,STATIONS,Trenton,NE,YES
435157.159388494,517978.645041406,143,Hamilton,Mercer,40.25531,-74.70412,RAIL0163,,NE,STATIONS,Hamilton Twp,NE,YES
618622.850527246,469173.845997654,144,Manasquan,Monmouth,40.12062,-74.04764,79,,NC,STATIONS,Manasquan,NC,NO
598057.047170747,720243.922596656,145,Kingsland,Bergen,40.81009,-74.11729,66,,ML,STATIONS,Lyndhurst Twp,ML,NO
556922.765266247,668008.514600486,146,Roselle Park,Union,40.66711,-74.2664,31,,LV,STATIONS,Roselle Park,RV,NO
601282.336651914,948688.116625987,147,Salisbury Mills-Cornwall,"Orange, NY",41.43708,-74.10187,136,,ST,STATIONS,"Cornwall, Town Of",ST,YES
556159.696254328,953605.44537399,148,Campbell Hall,"Orange, NY",41.45103,-74.2664,26,,ST,STATIONS,"Hamptonburgh, Town Of",ST,YES
527658.740132995,955844.328363404,149,Middletown,"Orange, NY",41.45734,-74.37036,87,,ST,STATIONS,"Wallkill, Town Of",ST,YES
484116.51160083,961073.692904659,150,Otisville,"Orange, NY",41.47176,-74.52923,114,,ST,STATIONS,"Mt Hope, Town Of",ST,NO
438579.121048495,925737.584771238,151,Port Jervis,"Orange, NY",41.37461,-74.69511,124,,ST,STATIONS,Port Jervis,ST,NO
577188.677490246,846600.917257488,152,Sloatsburg,"Rockland, NY",41.15715,-74.19107,138,,ST,STATIONS,Sloatsburg,ST,NO
578782.301599577,860100.477200575,153,Tuxedo,"Orange, NY",41.19419,-74.18511,150,,ST,STATIONS,"Tuxedo, Town Of",ST,NO
591039.75641533,896284.861196488,154,Harriman,"Orange, NY",41.29338,-74.14002,55,,ST,STATIONS,"Woodbury, Town Of",ST,YES
387091.500598747,660158.777675323,155,Annandale,Hunterdon,40.64517,-74.87852,6,,RV,STATIONS,Clinton Twp,RV,NO
589862.229242828,816737.387089655,156,Rte 17 Ramsey,Bergen,41.07505,-74.14549,RAIL0170,,ML,STATIONS,Ramsey,"ML, BC",YES
564663.38889258,674100.703859657,157,Union,Union,40.68377,-74.23843,RAIL0166,,LV,STATIONS,Union Twp,RV,YES
575799.076594912,741902.150277488,158,Montclair St Univ,Essex,40.86978,-74.19743,RAIL0165,,MC,STATIONS,Little Falls Twp,MC,YES
609623.41248941,702480.934828736,159,Secaucus Junction Upper Level,Hudson,40.76119,-74.07582,RAIL0168,,NE,STATIONS,Secaucus,"NE, NC, RV, ME, GL, MC",YES
618834.39898866,797208.711252071,160,Woodcliff Lake,Bergen,41.02108,-74.04077,160,,PV,STATIONS,Woodcliff Lake,PV,NO
622909.883947913,692950.812484823,161,Hoboken Terminal,Hudson,40.73485,-74.02804,62,,ME,STATIONS,Hoboken,"ME, GL, MC, ML, BC, PV",YES
559302.582356997,752955.149168819,162,Wayne Route 23 Transit Center,Passaic,40.90026,-74.25697,RAIL0172,,MC,STATIONS,Wayne Twp,MC,YES
455433.011225164,751550.943315819,163,Mt Arlington,Morris,40.89659,-74.63273,RAIL0171,,ME,STATIONS,Mt Arlington,"ME, MC",YES
610575.109732997,721367.790099569,164,Meadowlands Rail Station,Bergen,40.81302,-74.07205,RAIL0174,,SL,STATIONS,East Rutherford,SL,YES
334695.835049078,417313.859494738,165,Pennsauken Transit Center,Camden,39.97777,-75.06179,RAIL0183,,AC,STATIONS,Pennsauken Twp,AC,YES
609623.41248941,702480.934828736,166,Secaucus Junction Lower Level,Hudson,40.76119,-74.07582,RAIL0167,,ML,STATIONS,Secaucus,"ML, BC, PV",YES
603612.264734831,736619.244504735,167,Wesmont,Bergen,40.85498,-74.09695,43599,,BC,STATIONS,Wood-Ridge,BC,YES
